response_id,date_submitted,status,please_select_your_field_consultant_id,which_cohort_is_this_fellow_a_member_of,fellow_id,please_enter_the_school_dbn_as_a_letter_and_3_digit_number_e_g_x232_or_k021,k_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x1_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x2_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x3_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x4_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x5_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x6_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x7_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x8_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x9_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x10_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x11_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x12_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,ctt_ict_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,self_contained_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,setts_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,d75_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,n_a_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,what_is_the_fellow_s_assigned_university_subject_area_please_select_the_subject_they_are_training_in_at_their_university_not_the_subject_they_are_teaching_during_this_observation,what_was_the_date_of_this_observation,x1a_please_record_your_observation_rating_for_component_1a_demonstrating_knowledge_of_content_and_pedagogy,x1c_please_record_your_observation_rating_for_component_1c_setting_instructional_outcomes,x1e_please_record_your_observation_rating_for_component_1e_designing_coherent_instruction,comments_for_domain_1,x2b_please_record_your_observation_rating_for_component_2b_establishing_a_culture_for_learning,x2c_please_record_your_observation_rating_for_component_2c_managing_classroom_procedures,x2d_please_record_your_observation_rating_for_component_2d_managing_student_behavior,comments_for_domain_2,x3b_please_record_your_observation_rating_for_component_3b_using_questioning_and_discussion_techniques,x3c_please_record_your_observation_rating_for_component_3c_engaging_students_in_learning,x3d_please_record_your_observation_rating_for_component_3d_using_assessment_in_instruction,comments_for_domain_3,x4a_please_record_your_observation_rating_for_component_4a_reflecting_on_teaching,comments_for_domain_4,how_effective_do_you_believe_this_fellow_is_compared_to_other_teachers_with_similar_experience_eg_first_year_fellows_compared_to_other_first_year_teachers,university,school_code,tt2id
198,3/17/2017 20:57,Complete,2082,Cohort 28,51329,Q349,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/3/2017,Developing+,Developing+,Developing+,Teacher was the only instructor in the room at the time of observation.,Effective,Effective,Effective,NA,Developing+,Developing+,Developing+,NA,Effective,NA,Average,BC,28Q349,df67de0d-a276-4a93-b935-a58a0132a17e
199,3/17/2017 21:21,Complete,2082,Cohort 28,51301,Q034,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Special Education,3/16/2017,Developing+,Developing+,Effective,NA,Effective,Effective,Effective,NA,Effective,Effective,Developing+,NA,Effective,NA,Average,BC,29Q034,f6ee2915-f659-4812-841b-a3d9014b3978
127,3/10/2017 14:39,Complete,1205,Cohort 28,51223,M520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,CTT/ICT,NA,NA,NA,NA,Special Education,03/06/0017,Developing+,Developing+,Developing+,The instruction has been planned primarily by the general education co-teacher of this ICT class.  The Fellow is including IEP recommendations for special needs students,Effective,Developing+,Developing+,This Fellow has been developing a good rapport with students in this ICT class.,Developing+,Developing+,Developing+,NA,Developing+,This Fellow has made a conscientious start as a first year teacher and is reflective of his work.,Below Average,Pace,02M520,9dc99b9f-aac8-4837-ac7a-a60a01227504
197,3/16/2017 16:58,Complete,2068,Cohort 28,51212,71K141,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,3/6/2017,Developing,Developing,Developing,Matthew must plan instruction that is appropriate for his students.,Developing,Developing,Developing,Matthew must create a behavior management system and be consistent.,Developing,Developing,Developing,Matthew must assess his syudents and paln lessons to meet the needs of his students.,Developing,Matthew is able to reflect on his lesson and  receive feedback.,Below Average,Pace,97K141,9e567221-bfa4-450c-a47e-a5ea017e8325
100,3/11/2017 21:07,Complete,2065,Cohort 28,51285,M245,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,SETTS,NA,NA,Special Education,3/9/2017,Developing,Ineffective,Ineffective,Lack of a plan caused limited instruction or learning,Developing,Developing+,Effective,Student behavior is appropriate and teacher monitors each student throughout the lesson,Ineffective,Ineffective,Developing,Assessment of each student's work is ongoing. There was no exit summation or activity.,Ineffective,Without a prepared plan the teachers cannot define goals or expectations. The teacher is unaware of the lesson's success.,Below Average,City,03M245,e30ca972-7aa7-4f05-9b1e-a58400d69569
141,3/14/2017 13:24,Complete,1833,Cohort 28,51262,M194,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,ESL,3/3/2017,Developing+,Developing+,Developing,NA,Developing+,Developing,Developing,NA,Developing+,Developing,Developing+,NA,Developing+,NA,Below Average,City,05M194,bf2cb73c-fbd2-492e-be0e-a59e01599d0d
167,3/15/2017 21:56,Complete,219,Cohort 28,51282,Q077,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/10/2017,Developing+,Developing+,Developing,"* Teacher has a strong background knowledge in the subject but his pedagogical practice and during our debrief, represents a narrow range of  strategies. *The teacher should include the standards that are addressed in the lesson. *The lesson had a clear structure but there was no differentiation for different groups of students. * There was too much down time during the lesson. The teacher should realistically time out the lesson on the lesson plan and use a timer to pace the lesson.",Developing+,Developing+,Developing+,NA,Developing+,Effective,Developing+,"* Teacher should encourage students to respond to each other by asking students who 'agrees',' disagrees' or 'has something to add' and and having the students explain their thinking.",Developing,NA,Below Average,City,24Q077,4af6fa7a-eabe-4ad1-a01f-a57c0160d515
176,3/16/2017 21:45,Complete,219,Cohort 28,51293,Q485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/16/2017,Developing+,Developing+,Developing+,"•	The teacher is bright and does have a lot to offer but should realize that he is a co-teacher and should have an equal stance in the class. (see last bullet under comments for 2b, 2c and 2d.) •	The Learning Objectives were measurable but should be written in student friendly language using 'I Can' statements. 'I Can' statements empower students, provide a common focus, communicate what is important, build community and engagement and increase motivation and confidence.- Brian Shepard •	The Learning Objectives were too ambitious. •	The lesson was standards-based. Please write out the entire standard. •	There was no evidence of differentiation for groups of students. •	Physical environment must be conducive for students to work in groups. A case in point is the arrangement of the seats for discussion purposes, as we discussed. •	When assigning a text to read or watching a video, the teacher should pose a question the students should listen for in order to give the video a purpose. This would give the students an idea before they watch what to expect, what to look for and what might be worth thinking about. In the case of this text, the students could have been asked to think about how their assigned text impacted the American economy.  •	As students worked in the table groups, the teacher could have worked with one of the groups. •	While sitting in groups, the teacher should have had the students arrange their desks so they could participate more in a conversation.  •	There was some disagreement about the rating of the causes. Had the students been sitting in a circle or facing each other as the other groups were, they could have had a discussion and come to a consensus while the teacher facilitated.",Developing+,Developing+,Effective,"•	Transitions were smooth  •	Behavior was appropriate.  •	Students were well-behaved, motivated to take part in the lesson; yet teacher seems to exhibit a lack of presence. Students don't see the teacher as an equal as demonstrated when a student asked the co-teacher for his rankings of the causes.",Developing,Effective,Developing,"•	As the teacher elaborated, he could have asked thought provoking questions. An example could have been when Justin spoke about his grandfather's investment and the teacher mentioned that during the Great Depression was kind of like the opposite. This could have been presented to the students for discussion.  •	While the co-teacher facilitated the mini-lesson, the teacher elaborated and added information.  •	Keep class focused by staying a way from tangents and little jokes and stories. •	A final assessment question, related to the Learning Objectives, should have been asked at the end of the period. The students could have discussed it in their groups, followed by a share. After each group shared their priorities, the teacher could have asked what conclusions they can drw from the fact that different groups had different priority orders.",Developing,NA,Below Average,City,24Q485,676a67b6-c629-477b-af21-a524012fdb76
186,3/17/2017 9:41,Complete,1803,Cohort 28,51230,x32,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,03/16/0017,Developing+,Developing+,Developing+,NA,N/A,N/A,N/A,NA,N/A,N/A,N/A,NA,Developing+,NA,Below Average,City,10X032,e93783b7-41a0-4868-a6c8-a611008cb659
190,3/17/2017 10:41,Complete,1803,Cohort 28,51274,X682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,Special Education,02/13/0017,Developing+,N/A,Developing+,NA,N/A,N/A,N/A,NA,N/A,N/A,N/A,NA,Developing,NA,Below Average,City,12X682,f1a98ed3-221d-48ed-b309-a5f400db5b23
236,3/20/2017 0:52,Complete,1794,Cohort 28,51233,M520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,CTT/ICT,NA,NA,NA,NA,Special Education,2/16/2017,Developing,Developing,Developing,"Mr. Billson's knowledge of history was excellent, and he was able to put together a reading very quickly when he discovered upon arrival to the class that his co-teacher had not shown up for work nor notified him.  However, the lesson itself had very little structure to it, and no accountability for students.  They had a worksheet to fill out but he had not planned for how to translate that work into a coherent discussions, and students did not understand how they would be assessed, or for what.",Ineffective,Ineffective,Developing,"Many teachers in better circumstances appear to be overwhelmed, disgruntled, annoyed.  But Mr. Billson in a very chaotic classroom environment continued to be cheerful and happy to see and work with his students.   That will serve him sell as he hones his other teaching skills.  But the learning environment for this lesson was disastrous.  Students were extremely rude to him and to each other.  One group of students chatted, played on their phones and ate a full meal during the lesson, almost never participating.  One small group of students did participate, but inconsistently, clearly aware that there were no consequences for not participating and no reward for participating.  There was no clear outcome nor a clear end assessment or connection to homework.  Mr. Billson mentioned that his co-teacher does not plan with him or give him an opportunity to truly co-teach; the absence of the co-teacher did not change the problem, that Mr. Billson had not been able to create a learning environment through a strong lesson plan or established procedures.",Developing,Developing,Ineffective,"Again, Mr. Billson had made an effort to find an interesting reading for students to do when the co-teacher did not show up and had not left a lesson.  And he had a good idea for how students could relate the despotic leader in the reading to studies of other despotic leaders.  But there student engagement was extremely inconsistent and not purposeful, there was little opportunity for solid discussion, including questioning, and while he did not have wild behavior in the room, nor did he have focus or respect from students.  Even a purposeful arrangement of the chairs in the room, with students sitting together for discussion and with the chatty students separated, would have made a huge difference.",Developing,"Mr. Billson is in the very early stages of being able to reflect on the lesson.  Once he has attained more skills in pedagogic methods, he will have more tools for reflecting on practice as well.  But he is open to suggestions and eager to improve.",Below Average,City,02M520,fd2e1db7-2d77-4420-a1b1-a5fa00bbd81e
248,3/23/2017 12:04,Complete,1856,Cohort 28,51249,12x372,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,ESL,3/23/2017,Developing+,Developing+,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing+,Developing+,NA,Developing+,NA,Below Average,City,12X372,caf0ce8d-4c4b-4556-940c-a5a901022834
249,3/23/2017 12:21,Complete,1856,Cohort 28,51256,12x372,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,3/23/2017,Developing,Developing,Developing,NA,Developing+,Developing+,Developing+,NA,Developing+,Developing,Developing,NA,Developing+,NA,Below Average,City,12X372,2b5fac26-3f7f-4362-8e7f-a44d01492a8b
155,3/15/2017 22:24,Complete,219,Cohort 28,51330,X005,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/6/2017,Developing+,Effective,Developing+,* Teacher's plans and practice illustrate a limited range of approaches. * The learning objectives and standards were included. The learning objectives should be written in student friendly language.,Developing+,Developing,Developing,"* The classroom culture represents a lack of student committment toward the work. * Students were talking throughout the lesson causing the teacher to stop the lesson on numerous occasions. * Teacher attempted to get the students' attention by stating, ""If you hear my voice clap once, ..."" on four occasions, to no avail.",Developing+,Developing,Developing+,NA,Developing,NA,Below Average,BC,07X005,59217436-8317-487d-90ba-a2ee00a51dc5
116,3/10/2017 12:15,Complete,2067,Cohort 28,51222,X012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,NA,Self-contained,NA,D75,NA,Special Education - D75,2/15/2017,Developing+,Developing+,Developing+,Very impressed,Developing+,Developing+,Developing+,Even with new students and staff culture was clear,Developing+,Developing+,Developing+,Excellent. Students very engaged in critical thinking,Effective,Renee has exceptional insight into her own strengths and very open to critique,Top 10%,Pace,97X012,7444681c-dede-4a89-b8cb-a5ee01741f4c
144,3/12/2017 10:55,Complete,250,Cohort 28,51227,X17,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,3/8/2017,Developing,Developing,Developing,"Sukie has just begun a Math Cluster position.  She knows the content, she is working on delivering it to all of her students.",Developing,Developing,Developing,She is working with Paraprofessionals to manage the behavior.,Developing,Developing,Developing,Because students like her they are trying to engage in the lessons.,Developing,NA,Top 10%,Pace,97X017,23557c07-59a7-4669-a72c-a5ec0075c14a
