uni,FC_ID,Cohort,C27id,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom1_comments,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom2_comments,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom3_comments,oct_dom4a,oct_dom4_comments,oct_rel_effect,dom1_avg,dom2_avg,dom3_avg,dom4_avg,FDIoct_overall,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1859,Cohort 27,50963,M094,7,D75,Special Education – D75,22-Sep-16,Developing,Developing+,Developing,There is a need for further differentiation.  All students are not working at the same level.,Developing,Developing+,Effective,There did not seem to be any behavior problems.  There was a good learning environment.,Developing,Developing,Developing+,"Nicole needs to concentrate on getting students more engaged.  As discussed, there is a need for further differentiation and use of manipulatives for students who need them.  Students also needed more time to share out and examples that were real world.",Developing+,"Nicole is interested in improving, but was looking more for my suggestions rather than being deeply reflective.",Below Average,2.333333,3,2.333333,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1794,Cohort 27,50964,M291,6,,ESL,19-Oct-16,Developing,Developing,Developing,"In the lesson I observed, Ms. Cervantes was supporting a social studies teacher in the classroom.  I was also able to assist her with lesson planning.  Ms. Cervantes has good ideas for how to support her students and so far has not been able to take the lead in this regard.  She is tentative in making decisions about lesson planning and uncertain of how to plan together with a co-teacher to assist all students as well as those on her roster.  We discussed how to begin taking a stronger role in planning and implementing the lesson.",Developing+,Developing,Developing,The students in the lesson I observed were extremely well-behaved; but the classroom culture appears to have been established more by the regular classroom teacher.  Ms. Cervantes shows kindness and warmth and is ready to assess student needs.  She is tentative but shows promise.,Developing,Developing+,,"Ms. Cervantes was very focused on discovering what students might need to achieve learning goals.  She had limited opportunities to provide that assistance but used every opportunity she had.  I was not able to observe any questioning from Ms. Cervantes, only from the co-teacher.",Developing+,Ms. Cervantes is very eager to learn and to grow as a teacher.  She asks many questions and is very interested in developing her teaching skills.,Average,2,2.333333,2.5,3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1205,Cohort 27,50965,M194,5,CTT/ICT,Special Education,27-Sep-16,Developing,Developing,Developing,"Although the ""do now"" was connected to an appropriate math concept it was much too long and many students lost their focus.  Individual visits to students were helpful but there was little differentiation seen in the lesson. It will be important to plan more varied and  adjusted approaches for this class.",Developing,Developing,Developing,"Although both teachers in this ICT class seem committed to developing a positive classroom culture, management was inconsistent.  The Teaching Fellow took the lead in the lesson but had difficulty keeping students involved.  Stronger routines and guidelines will need to be developed along with shorter more interesting activities.",Developing,Developing+,Developing,Although the activities were aligned with the topic there was too much extended seat-work time without a thorough review of the work.  Questioning techniques will need to be adjusted and enhanced as students are at very varied levels.  Assessment strategies will need to need to be adjusted in order to give more effective feedback to individual students.,Developing+,This Teaching Fellow was aware of some of the difficulties seen in this lesson and is eager to improve his work at all levels.  He has been developing  a good working relationship with his co-teacher and has a positive approach to working with his students.,Below Average,2,2,2.333333,3,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1825,Cohort 27,50966,M372,6,,ESL,17-Oct-16,Developing,Developing,Developing,"When designing future instruction, Tim is encouraged to focus on identifying important concepts and inputs (skills) needed to advance student learning within a discipline and formulating lesson objectives and utilizing lesson materials that accurately align with them.",Developing,Developing+,Developing+,"To further establish a culture for learning embraced by all students, Tim is encouraged to identify and use precise academic language throughout instruction, and insist his students use precise academic language when responding to teacher questioning and working with their peers.",Developing,Developing,Developing,"To further develop his students' persistence, Tim is encouraged to provide ample wait time during teacher questioning, and to further scaffold instruction for his ELL's using heterogeneous grouping, appropriate technology, and lesson materials targeting their language proficiencies. ",Developing+,"Tim expresses great interest in developing his skills and in developing relationships with his colleagues in an effort to gain insight from them.  It is recommended he become more proactive in seeking assistance from grade level colleagues and administration, when appropriate, regarding identifying curriculum resources necessary to meet the needs of his ELL’s.",Average,2,2.666667,2,3,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1956,Cohort 27,50967,X811,9,CTT/ICT,Special Education – D75,21-Sep-16,Developing,Developing,Developing,Teacher should plan enrichment challenges for students who are capable of more difficult work.,Developing+,Developing+,Developing+,,Developing,Developing,Developing,,Developing,,Average,2,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,2075,Cohort 27,50969,X434,9,Self-contained,Special Education,11-Oct-16,Effective,Effective,Effective,Lesson was very good but there was more material available than classroom time to do it. Though he taught bell to bell without any time wasted he needs to work on limiting how much content can be completed in one period. ,Effective+,Effective+,Effective,Aladin has a commanding voice he easily pulled the class from discussion to moving on with the lesson. He cares about the students and the energy in the class is apparent. There was no evidence of any problems with his managing of his class.,Effective+,Effective,Effective+,Aladin has excellent questioning skills. He would ask a question and take his next question from an answer a student gave. The students were a big part of his lesson and the lesson moved along nicely.,Effective,Aladin felt the class (students) were not as good as they usually are. He suggested it might have been due to the long weekend followed by another day off but he did mention this. He was also not able to do the final task of his lesson as the time ran out. He will complete this task with the class when they meet next.,Above Average,4,4.666667,4.666667,4,4.666667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1788,Cohort 27,50970,19/K/662,7,,ESL,5-Oct-16,Developing,Developing,Developing,Teacher has a basic knowledge of ENL strategies--lesson plan used was a power point presentation conducted by the ELA teacher.  I did not see evidence of accommodations for the ENL teacher's target population.  Outcomes were set high with little coordination to the linguistic/cognitive relationship.  The power point presentation did not provide scaffolds or differentiated learning for ENL students.,Developing,Developing,Developing,"Though the classroom environment showed commitment to learning, student behavior did not provide for active learning.  There was some loss of time due to partially effective classroom routines and procedures.  There seems to be rules established.  However, on the day I went to the school it appears that all codes of conduct were ignored.  Teachers in the room were respetful and tried to bring the students back with inconsistent results.",Developing,Developing,Developing,"There was some questioning with high standards and rigorous vocabulary presented.  Teachers faced a challenge presenting the material to the students on the day I was at the school.  Work was on the board and the ELA teacher presented tasks to be completed.  However, there was a point where students were no longer listening or on task.  There was some use of assessment and the teacher is aware of levels of his target population.  I did not see students' self assessment or data driven instruction.",Developing,There was some cognition of self reflection in a broad spectrum.,Below Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1962,Cohort 27,50971,Q126,8,CTT/ICT,Special Education,27-Sep-16,Developing,Developing,Developing+,"Vicky had a lesson plan that was clearly thought-out and well planned, although it needed to be slower-paced and scaffolded further to reach more of her students.",Developing+,Developing+,Developing+,"Vicky embedded techniques within the lesson to engage students and encourage good behavior, but the lesson moved a bit too quickly and was a bit more teacher-centered that it should have been - fixing these two things would have made a difference in engagement/behavior.",Developing+,Developing+,Developing,"Vicky primarily used verbal assessment, and not all students were engaged in the discussion.",Effective+,Vicky is very willing to learn and take feedback.,Average,2.333333,3,2.666667,5,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1822,Cohort 27,50972,Q311,6,N/A,Bilingual,20-Oct-16,Developing,Developing,Developing,"Teacher’s plans and practice indicate some awareness of prerequisite relationships, although such knowledge may be incomplete.Most of the outcomes are suitable for most of the students in the class based on global assessments of student learning.The lesson or unit has a recognizable structure; the progression of activities is uneven, with most time allocations reasonable.",Developing+,Developing+,Developing+,". Classroom interactions support learning and hard work.With minimal guidance and prompting, students follow established classroom routines. Student behavior is generally appropriate.",Developing,Developing,Developing+,"Teacher attempts to engage all students in the discussion and to encourage them to respond to one another, with uneven results. The pacing of the lesson may not provide students the time needed to be intellectually engaged.Feedback to students is general, and students appear to be only partially aware of the assessment criteria used to evaluate their work but few assess their own work.",Developing+,Teacher has a generally accurate impression of a lesson’s effectiveness and the extent to which instructional outcomes were met.,Average,2,3,2.333333,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1825,Cohort 27,50973,M182,4,,Bilingual,4-Oct-16,Developing,Developing,Developing,"When designing future instruction, Cynthia is encouraged to focus on identifying important concepts and inputs (skills) needed to advance student learning, within a discipline. The Madeline Hunter Model of Mastery Learning (Essential Elements of Instruction) will be an important lesson design resource for Cynthia.  ",Developing+,Developing+,Developing+,"Cynthia effectively uses positive reinforcement to foster acceptable classroom behavior, and there was minimal loss of instructional time due to established classroom routines and procedures.  To further establish a culture for learning embraced by all students, Cynthia is encouraged to insist her students use precise academic language when responding to teacher questioning.",Developing,Developing,Developing,"Taking steps to establish a more student-centered learning environment where students are encouraged to direct their own learning (using checklists and rubrics), will provide important practice for Cynthia’s students in being more intellectually engaged and further develop student persistence.  ",Developing,"Cynthia expresses great interest in developing her skills and in developing relationships with her colleagues in an effort to gain insight from them.  Continued collaboration with them will provide important insight for Cynthia regarding curriculum, instruction, and lesson design. ",Average,2,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,2074,Cohort 27,50975,K392,6,CTT/ICT,Special Education,5-Oct-16,Developing,Developing,Developing,"In developing the lesson focus on background knowledge of students, and elicit more discussion prior  to having students work on the activity. Ensure that students know the meaning of key vocabulary at the onset of the lesson. ",Developing+,Effective,Effective,Planning activities that are more challenging for students. Also focus on grouping students based on their skills and abilities. Some students with more challenging content as the topic is expanded to promote higher level thinking skills.  Students exhibited on task behavior during the lesson.,Developing,Developing,Developing+,Focus on presenting questions that further promote discussion in order to assess students. Higher level thinking questions should be incorporated into the lesson to challenge students. Independent student and group assessment of students is an important component that needs to be given further    focus. ,Developing,Teacher made reference to some things that they would change in future lessons on the topic.,Below Average,2,3.666667,2.333333,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1824,Cohort 27,50976,X244,8,CTT/ICT,Special Education,20-Oct-16,Ineffective,Ineffective,Ineffective,"The teacher was co-teaching.  However, she did not have lesson plans.  Nor had she seen the lesson plans.  So, she really didn't know what was going on.  She did attempt to help out.",Developing,Developing,Developing,,Ineffective,Ineffective,Ineffective,,Ineffective,The teachers took turns reading instructional material and the students then copied the material.  The lead teacher asked a few recall questions.  Most of the students could not answer the questions. The teacher did agree that she has to do more preparation for future lessons.,Below Average,1,2,1,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1808,Cohort 27,50977,K543,6,CTT/ICT,Special Education,13-Oct-16,Effective,Developing+,Developing+,"This was ICT math class , and the lesson involved two groups of students rotating between the Teaching Fellow and the co-teacher. The lesson was about rules of division. At the start of the lesson each group was given a hand out with 5 number amounts ( 684,956) and they had to determine if the  five numbers are divisible by 2,3,5,9, and 10. Since there were two groups, the number amounts were different and so were the divisible numbers. However, the entire lesson was based on these handouts. There were no other learning activities or assessments, and there was no actual teaching taking place. I saw no variety of strategies, nor did I witness any significant differentiation.  I suppose one could posit that the purpose of this lesson was clear, and that the learning activity was aligned to an academic outcome, but this lesson reminded me of a TEST.",Developing+,Effective,Developing+,"Although student behavior was generally appropriate, most kids showed little enthusiasm for the work. Also, the Teaching Fellow admonished a student in front of his peers, which should never take place. We talked about this incident after the lesson, and the Fellow understood my thinking and my advice. The Teaching Fellow used a student monitor to hand out and collect the worksheets, so that was okay.",Developing+,Developing+,Developing+,"Well, there was only ONE assessment, there were only a limited amount of questions with no students showing enthusiasm. ",Developing+,"After we spoke, the Teaching Fellow realized that more was needed in this lesson. I told him that I was not sure all of his students were proficient and he agreed. He vowed to do better in his planning and teaching. He will use different strategies to address inappropriate behavior as well. He will grow.",Below Average,3.333333,3.333333,3,3,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1780,Cohort 27,50979,K674,11,Self-contained,Special Education,27-Sep-16,Developing+,Developing,Developing+,TF directed students to complete a 'do now' for science -How are the ( t /-) charges distributed in a (H2O) molecule? TF explained why the hydrogen atom is considered more positive and other facts pertinent to the topic. TF read aloud from the SmartBoard re: polar molecules/polarity/hydrogen bond. Students worked in groups to come up with a homogeneous / heterogeneous mixture. TF was familiar with the concepts. TF is encouraged to take needs for all students into account. ,Effective,Developing+,Developing+,The classroom culture reflected high expectations and established student conduct conducive for teaching and learning. TF was respectful of students and there was little loss of instructional time. TF is encouraged to continue to reinforce those classroom protocols and procedures that support effective instruction.,Developing,Developing+,,"TF aligned the learning tasks and activities with the instructional outcomes. TF is encouraged to make certain students are given direct, individual feedback for monitoring learning. ",Developing,TF has a generally accurate impression of the lesson's effectiveness. TF is encouraged to move around the room / ask students to read silently before calling upon a volunteer to read aloud.   TF maintained an excellent rapport with the students.,Average,2.666667,3.333333,2.5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2061,Cohort 27,50982,x509,10,N/A,ESL,30-Sep-16,Developing,Ineffective,Developing,,Ineffective,Ineffective,Developing,,Ineffective,Developing,Ineffective,,Developing+,,Average,1.666667,1.333333,1.333333,3,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1906,Cohort 27,50983,28Q328,11,N/A,Science,5-Oct-16,Developing+,Developing,Developing,Plan demonstrations in advance which involve student participation.,Developing+,Developing,Developing,Management of high achieving students appeared adequate. One student appeared to be off task frequently and appeared to be in need of additional support/guidance.,Developing,Developing+,Developing,"The teaching fellow stopped to check for understanding ""Did everyone get that?"" and had students explain problems on board. Would a student who doesn't ""get it"", feel it was really OK to speak up and say so?",Developing,,Average,2.333333,2.333333,2.333333,2,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2012,Cohort 27,50984,x365,9,N/A,Math,17-Oct-16,Effective,Effective,Developing+,,Developing+,Effective,Developing+,,Developing+,Developing,Developing+,,Effective,,Average,3.666667,3.333333,2.666667,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1835,Cohort 27,50987,X035,4,,Bilingual,14-Oct-16,Effective,Effective,Effective,,Developing+,Developing+,Developing+,We discussed the strategies for getting students' full attention prior to giving activity directions and keeping them engaged throughout the lesson.,Developing+,Developing+,Developing+,Teacher is to allow more time for students to think before they respond; and implement Think-Pair-Share. ,Developing+,,Above Average,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,2074,Cohort 27,50991,K392,8,CTT/ICT,Special Education,14-Oct-16,Developing+,Developing+,Effective,Instructional objectives should be stated in measurable terms. Visual and auditory methods were utilized during the lesson which served to address the learning styles of students.,Effective,Effective,Effective,The classroom culture is positive. Students are aware of the classroom expectations an respond   appropriately. The teacher is cognizant of the behavior of students and provided additional support  to students when needed.,Effective,Developing+,Developing+,"Students skills were assessed through various questioning during the lesson. Students made connections with the content during the first part of the lesson. During the latter part of the lesson students were given an activity which they had to provide their opinion however, further discussion was needed to determine whether students were on point based on their explanation.  ",Developing+,Teacher is aware of some adaptations that could be implemented to further improve the lesson.,Above Average,3.333333,4,3.333333,3,3.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,918,Cohort 27,50994,97X723,8,Self-contained,Special Education – D75,7-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Effective,,Average,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1951,Cohort 27,50996,15K464,7,CTT/ICT,Math,22-Sep-16,Developing,Developing,Developing,Student grouping needs to be modified to allow all students to learn.,Developing,Ineffective,Developing,The teacher is unsuccessful as she attempts to maintain order in the classroom.,Developing,Developing,Developing,Student engagement with the content is mostly passive.,Developing,The teacher knows she needs to have some behavior management techniques in place for her lesson to run smoothly.,Below Average,2,1.666667,2,2,1.833333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1724,Cohort 27,50997,x551,9,CTT/ICT,Special Education,21-Sep-16,Developing+,Developing,Developing,,Effective,Effective,Effective,,Developing+,Developing+,Developing,,Developing+,,Average,2.333333,4,2.666667,3,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1990,Cohort 27,50999,K549,10,Self-contained,ESL,30-Sep-16,Effective,Developing+,Effective,,Effective+,Effective,Effective,,Developing+,Effective,Effective+,,Effective+,,Above Average,3.666667,4.333333,4,5,4.166667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2064,Cohort 27,51000,m115,5,N/A,Bilingual,14-Oct-16,Effective,Developing+,Developing+,"Rosangel's own interest in language and words is evident and the students feed off her enthusiasm. Her planning was very thorough and detailed, though a bit beyond what the students would be able to do on their own or would need to do in order to understand the unknown words or extract ideas from the content.",Developing+,Developing+,Developing+,The task was text heavy and took a lot of time to make progress and this contributed to waning student attention about 20 minutes in. Rosangel has good rapport with the student and is working to present a more commanding presence consistently.,Developing,Developing,Developing,"Rosangel asked a lot of questions throughout the lesson about word meanings and the students could answer those. They had a harder time answering questions assessing meaning-making and comprehension of larger ideas. Also, she asked for self-reported understanding in the CfU without getting evidence.",Developing+,"Rosangel is aware of her strengths and weaknesses, and open to feedback and asked for suggestions and tools to improve in the areas we identified for improvement. ",Above Average,3.333333,3,2,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2007,Cohort 27,51001,M630,10,,Science,18-Oct-16,Effective+,Developing+,Developing,"The lesson was related to topographic maps.  The lesson seemed to pivot off of the previous day's lesson.  However, there were students in the classroom that were not in the previous day's class.  So, there was material they missed and appeared unable to comprehend the current lesson.",Developing+,Developing+,Effective,There wasn't any inappropriate behavior observed.,Developing,Developing,Developing,"The students were given a worksheet to complete using the gradient formula and creating a topographical map.  Since the lesson pivoted on a previous lesson, some students were not able to complete the worksheet on their own.  In my opinion, the assessment should have included the material from the previous day's lesson.  So, the students that missed the lesson could catch up to the current lesson.  There were students at different points of understanding.  But, the worksheet did not address the different points of understanding.",Developing+,"When I spoke with Rakan, he appeared to understand the importance of making sure your students clearly understand the concepts being covered during the class. We discussed using more examples, starting a lesson with a different do now that will enable the students that were absent to see what they had missed and using the Earth Science Reference tables to facilitate learning in the classroom.  ",Average,3.333333,3.333333,2,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2006,Cohort 27,51002,X440,11,N/A,Science,21-Sep-16,Developing,Ineffective,Ineffective,,Developing,Ineffective,Ineffective,,Ineffective,Developing,Developing,,Developing+,,Below Average,1.333333,1.333333,1.666667,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,250,Cohort 27,51004,M291,7,CTT/ICT,Math,26-Sep-16,Developing+,Developing+,Developing+,"Max has an excellent grasp of content, He needs to work on providing instructional outcomes at the beginning of the lesson.",Developing+,Developing+,Developing+,"Students work well in groups, Max will work on providing shorter whole class lesson and more group work.",Developing+,Developing+,Developing+,,Developing+,"Max will work on shorter class lesson, more group work and better use of co teacher.",Top 10%,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2033,Cohort 27,51006,X527,9,CTT/ICT,Special Education,14-Oct-16,Developing+,Developing,Developing,,Developing,Ineffective,Ineffective,,Developing,Developing,Developing,,Developing+,,Below Average,2.333333,1.333333,2,3,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,51008,X427,10,CTT/ICT,Special Education,21-Sep-16,Developing+,Developing+,Developing+,I observed Jennifer in an ICT high school global setting. Her co-teacher took the lead role in the classroom and Jennifer assisted. The lesson was scaffolded from what was previously learned earlier in the week. The lead teacher demonstrated a solid knowledge of the content and the lesson and activity was well designed.    I encouraged Jennifer to take more of a lead role within the classroom to practice and gain knowledge of her teaching pedagogy.  ,Developing+,Effective,Effective,Student behavior was highly appropriate and students monitored themselves thus making mangaing class behaviors easier for the teachers. Students readily participated and was engaged during the duration of the class.,Developing+,Developing+,Developing+,"Questions utilized during the lesson promoted higher order thinking however the period ended before a ""wrap up"" or closing was done, nor was there time to go over the activity given. Therefore, no informal or formal assessment was used to gauge whether students learned the concept of the learning objective or lesson that day.",Developing+,I encouraged Jennifer to take more of a lead role within the classroom to practice and gain knowledge of her teaching pedagogy.  ,Average,3,3.666667,3,3,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,958,Cohort 27,51009,K373,9,D75,Special Education – D75,28-Sep-16,Developing,Developing,Developing,,Developing+,Developing+,Effective,,Developing+,Developing+,Developing+,,Developing+,,Average,2,3.333333,3,3,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1735,Cohort 27,51010,K548,9,CTT/ICT,Special Education,29-Sep-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing,,Developing+,Developing+,Developing+,,Developing+,,Average,3,2.666667,3,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2064,Cohort 27,51011,m048,4,N/A,Bilingual,30-Sep-16,Developing+,Developing+,Developing+,Yahaira has strong knowledge of content and has clear goals for instruction.,Developing+,Developing+,Developing+,Yahaira has good relationships with the students and trust is evident in their interactions. She is consistent and able to use established classroom procedures to manage behavior consistently.,Developing+,Developing+,Developing+,"The lesson was well designed and executed. The content was focused on skill acquisition and did not, in and of itself, require a lot of higher order reasoning. That given, there was a very clear instructional goal and she skillfully used questioning and assessment to elicit evidence that the students were doing it.",Developing+,Yahaira is easily able to identify what she did well and what she needs to improve. The areas of improvement she identified included both academic and learning environment goals.,Above Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1925,Cohort 27,51012,02M500,11,CTT/ICT,Science,18-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing,,Developing+,Developing+,Developing+,,Developing+,,Average,3,2.666667,3,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1841,Cohort 27,51014,M311,6,,Bilingual,6-Oct-16,Developing,Ineffective,Ineffective,The series of learning activities were poorly aligned with the instructional outcomes and did not represent a coherent structure.  Fellow needs to work on differentiating instruction and utilizing materials as to enhance instruction.,Developing,Developing,Developing,"Fellow needs to improve classroom procedures and routines.  Some standards of conduct have been established, but their implementation is inconsistent.",Developing,Ineffective,Ineffective,Only minimal thinking is required of students and most students were passively involved.  Teacher must use more appropriate materials with differentiation for students to utilize.  There was little assessment or monitoring of student learning.  Fellow must draw on students' prior knowledge and experiences to engage them in their own development as learners.,Developing,Teacher had a generally accurate impression of the lesson's issues and effectiveness and to some extent to which instructional outcomes were met. General suggestions by the Field Consultant were appreciated.,Average,1.333333,2,1.333333,2,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,935,Cohort 27,51015,X012,6,Self-contained,Special Education – D75,27-Sep-16,Developing,Developing,Developing,"Curriculum development will expand planning and practice with a wide range of effective pedagogical approaches  Candidate respects background, culture, skill, and special needs of each student",Developing,Developing,Developing,The Candidate has established a classroom where all adult resources  work in collaboration   One student has hindered the instructional program,Developing,Developing,Developing,Students are instructed as a group   Candidate asked surfaced leveled questions  A few learning tasks were aligned with instructional outcomes  Students will undergo a battery of testing.  The results of these assessments will be used to drive instruction,Developing,We spoke about the effectiveness of the current management plan   ,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2061,Cohort 27,51016,x351,9,CTT/ICT,Special Education,17-Oct-16,Ineffective,Ineffective,Developing,,Developing,Developing+,Developing,,Ineffective,Developing,Developing,,Ineffective,,Below Average,1.333333,2.333333,1.666667,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1925,Cohort 27,51018,07X551,8,CTT/ICT,Science,14-Oct-16,Developing+,Developing,Developing,,Ineffective,Ineffective,Ineffective,,Developing,Developing,Developing,,Developing,,Below Average,2.333333,1,2,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1796,Cohort 27,51019,K077,11,Self-contained,Special Education – D75,30-Sep-16,Developing+,Developing,Developing+,"Five students were present for this high needs Special Ed (autism) class.  The focus of the lesson was on using math in our daily lives.  Specifically, Ms. Jadan focused on bank deposits and withdrawals to practice their addition and subtraction skills.  There was evidence of differentiated instruction and the use of adaptive technology.",Developing,Developing+,Developing+,Students were generally well behaved throughout the period.  Evidence was apparent that the teacher was working on establishing effective routines and procedures to promote positive student behavior.,Developing,Developing,Developing,"Based on the extreme special needs of these autistic students, all of the questions were framed as requiring one word responses, usually dependent upon simple recall.  Furthermore, Ms. Jadan relied heavily on Power Point slides to relay her information.  As a consequence, this resulted in students being passive and compliant rather than being fully engaged in the lesson.",Developing,"To improve her instruction, we agreed that Ms. Murphy would:    1.",Work on providing students with more opportunities to act out real-life scenarios in order to increase engagement and their retention of the skills being taught.  ,Average,2.666667,2.666667,2,2,2.333333,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2007,Cohort 27,51020,Q073,11,,Science,4-Oct-16,Highly Effective,Effective,Effective+,"The lesson included a review of the material that would be on the students' next test.  Ms. Khemlani answered each question the students had in a clear and coherent manner.  It was very easy to follow her explanation and instruction.  The students were given ample time to complete the review sheet, ask questions and review the worksheet for the correct answers.",Effective+,Effective+,Effective+,"There is an apparent mode of conduct expected in the classroom.  Ms. Kemlani would often state what she expected from the students.  When the students would talk while she was giving information or going over the correct answers, she would stand and wait for it to get quiet before she would continue.  There were not obvious behavior issues in the classroom.",Effective,Effective,Effective+,"The review sheet covered the material that would be found on the exam.  All of the students completed the worksheet.  There was only one question that everyone had difficulty answering.  However, Ms Khemlani showed the students how to answer the question using the information she had given them.  The students appeared to grasp a better understanding of how to answer the question.  There is clear evidence that the assessments used in the classroom are effective.  Students were able to use all of the classwork to date to answer the questions on the review sheet.",Effective+,"Ms. Khemlani reflects upon her teaching and develops ways to reach students who are struggling.  She actively seeks to meet the learning needs of each student.  In addition, she works very hard to include her reflections on her next lessons.",Above Average,5,5,4.333333,5,4.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,51022,X301,7,Self-contained,Special Education,20-Sep-16,Developing+,Developing,Developing,"I observed Carelythia in a large (28 students) self contained reading class with no paraprofessional. The class was designed by administration to have students read independently for an entire classroom period. Many students were low performing readers and therefore the setting wasn't condusive to meet their needs, and Carelythia was well aware of that.    She is well versed in the content of ELA but is struggling on how to reach her low level readers during a period where she is instructed to just let them read silently.     I encouraged her to reach out to administration to see if she can group the children according to reading levels, provide literature that meets their reading levels, as well as work with the low performers for half of the period a few times per week within their reading level groups.",Developing,Developing,Developing,"Due to the fact that there were so many SPED students in one classroom setting, and out of compliance, managing behaviors, classroom culture and expectations were challenging.     The students who struggled with reading were of course the most disruptive.    I encouraged her to reach out to administration to see if she can group the children according to reading levels, provide literature that meets their reading levels, as well as work with the low performers for half of the period a few times per week within their reading level groups to not only improve classroom culture and learning but to manage the behaviors.",Developing,Developing,Developing,Please reference comment #12. ,Developing,"Carelythia has the potential to be a great teacher once given the tools needed. Her classes are out of compliance, she needs a paraprofessional, and a curriculum designed to engage students and meet them at their academic level.     Even with all of that, she managed the class well. There were small disruptions which she addressed, and she was able to sit with one student one to one to assess their reading level while students read independently.",Average,2.333333,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
